Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.000,0.002,0.997,0,0,0,0,0,0.998,0,0.997,0.998,1,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.033,0.004,0.995,0.001,0,0,0,0,0.995,0.001,0.995,0.996,0.999,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.066,0.007,0.991,0.001,0,0,0,0.001,0.992,0.001,0.991,0.993,0.999,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.100,0.008,0.989,0.002,0,0,0,0.001,0.991,0.001,0.99,0.992,0.999,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.133,0.007,0.99,0.002,0,0,0,0.001,0.991,0.001,0.99,0.993,0.999,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.166,0.008,0.988,0.002,0,0,0,0.001,0.99,0.001,0.989,0.992,0.999,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.200,0.011,0.985,0.002,0,0,0,0.001,0.988,0.002,0.986,0.989,0.998,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.233,0.013,0.982,0.003,0,0,0,0.002,0.985,0.002,0.982,0.987,0.998,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.266,0.014,0.981,0.003,0,0,0,0.002,0.983,0.002,0.981,0.986,0.998,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.300,0.013,0.982,0.003,0,0,0,0.002,0.985,0.002,0.983,0.987,0.998,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.333,0.01,0.986,0.002,0,0,0,0.001,0.989,0.002,0.987,0.99,0.998,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.366,0.009,0.988,0.002,0,0,0,0.001,0.989,0.001,0.988,0.991,0.999,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.400,0.017,0.979,0.002,0,0,0,0.001,0.981,0.002,0.978,0.983,0.998,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.433,0.032,0.962,0.002,0.001,0,0,0.003,0.965,0.004,0.961,0.968,0.996,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.466,0.04,0.953,0.003,0.001,0,0,0.003,0.956,0.004,0.951,0.96,0.995,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.500,0.038,0.955,0.002,0.001,0,0,0.003,0.958,0.004,0.954,0.962,0.996,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.533,0.039,0.955,0.002,0.001,0,0,0.003,0.957,0.004,0.953,0.961,0.996,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.566,0.051,0.942,0.003,0.001,0,0,0.003,0.945,0.004,0.941,0.949,0.996,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.600,0.061,0.931,0.004,0.001,0,0.001,0.004,0.934,0.005,0.929,0.939,0.995,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.633,0.052,0.94,0.003,0.001,0,0.001,0.003,0.943,0.004,0.939,0.948,0.995,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.666,0.03,0.965,0.002,0,0,0,0.002,0.967,0.002,0.965,0.97,0.997,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.700,0.013,0.985,0.001,0,0,0,0.001,0.986,0.001,0.985,0.987,0.999,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.733,0.007,0.992,0.001,0,0,0,0,0.992,0.001,0.992,0.993,0.999,Optimismo
