Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.010,0.058,0.911,0.006,0.003,0.002,0.002,0.018,0.916,0.026,0.891,0.942,0.973,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.043,0.071,0.896,0.007,0.004,0.002,0.002,0.018,0.904,0.025,0.878,0.929,0.973,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.077,0.085,0.887,0.005,0.003,0.002,0.002,0.017,0.893,0.023,0.87,0.915,0.975,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.111,0.173,0.792,0.003,0.002,0.002,0.001,0.027,0.795,0.032,0.763,0.827,0.962,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.144,0.349,0.606,0.003,0.002,0.002,0.002,0.037,0.609,0.042,0.567,0.651,0.935,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.178,0.479,0.48,0.005,0.002,0.002,0.002,0.031,0.485,0.036,0.448,0.521,0.93,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.212,0.508,0.461,0.006,0.001,0.002,0.003,0.019,0.467,0.025,0.442,0.492,0.949,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.245,0.547,0.424,0.006,0.001,0.002,0.004,0.016,0.43,0.023,0.407,0.453,0.948,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.279,0.61,0.356,0.006,0.001,0.002,0.004,0.02,0.362,0.028,0.334,0.39,0.928,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.312,0.614,0.344,0.006,0.001,0.003,0.005,0.026,0.35,0.036,0.315,0.386,0.907,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.346,0.619,0.316,0.006,0.001,0.007,0.009,0.041,0.323,0.058,0.265,0.381,0.848,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.380,0.667,0.235,0.007,0.002,0.01,0.013,0.066,0.242,0.091,0.151,0.333,0.726,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.413,0.641,0.25,0.007,0.002,0.009,0.012,0.079,0.258,0.101,0.156,0.359,0.718,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.447,0.533,0.379,0.006,0.002,0.008,0.01,0.062,0.386,0.081,0.304,0.467,0.826,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.481,0.434,0.493,0.005,0.002,0.013,0.015,0.038,0.498,0.068,0.43,0.566,0.88,Oposicion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.514,0.37,0.527,0.005,0.003,0.027,0.036,0.031,0.533,0.097,0.436,0.63,0.846,Infelicidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.548,0.383,0.425,0.007,0.004,0.052,0.085,0.045,0.432,0.186,0.246,0.617,0.699,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.581,0.491,0.216,0.009,0.007,0.072,0.14,0.066,0.225,0.284,-0.059,0.509,0.442,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.615,0.617,0.074,0.01,0.008,0.068,0.14,0.083,0.084,0.299,-0.215,0.383,0.219,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.649,0.686,0.076,0.008,0.008,0.047,0.09,0.086,0.083,0.23,-0.147,0.314,0.265,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.682,0.679,0.151,0.005,0.006,0.032,0.044,0.082,0.157,0.164,-0.007,0.321,0.489,Disfrute
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.716,0.645,0.217,0.004,0.005,0.025,0.027,0.077,0.221,0.133,0.088,0.355,0.624,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.750,0.641,0.252,0.003,0.003,0.017,0.018,0.064,0.256,0.103,0.153,0.359,0.712,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.783,0.631,0.305,0.004,0.002,0.008,0.01,0.04,0.309,0.06,0.249,0.369,0.837,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.817,0.572,0.392,0.005,0.001,0.004,0.005,0.021,0.397,0.031,0.366,0.428,0.928,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.850,0.508,0.464,0.005,0.001,0.003,0.004,0.015,0.469,0.023,0.446,0.492,0.953,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.884,0.516,0.453,0.005,0.001,0.003,0.006,0.016,0.458,0.026,0.432,0.484,0.945,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.918,0.604,0.356,0.006,0.002,0.003,0.009,0.02,0.361,0.034,0.327,0.396,0.914,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.951,0.673,0.286,0.006,0.002,0.003,0.009,0.022,0.292,0.035,0.257,0.327,0.893,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.13,0.15,0.144,00:00:09.985,0.624,0.346,0.004,0.001,0.002,0.005,0.016,0.351,0.025,0.326,0.376,0.934,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.011,0.462,0.521,0.005,0.001,0.001,0.003,0.007,0.526,0.012,0.515,0.538,0.979,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.044,0.556,0.428,0.003,0.001,0.001,0.004,0.007,0.431,0.012,0.419,0.444,0.972,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.078,0.597,0.386,0.003,0.001,0.001,0.004,0.008,0.389,0.015,0.374,0.403,0.964,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.112,0.605,0.376,0.003,0.001,0.001,0.005,0.009,0.379,0.016,0.364,0.395,0.96,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.145,0.618,0.362,0.004,0.001,0.001,0.005,0.009,0.366,0.016,0.35,0.382,0.958,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.179,0.647,0.334,0.004,0.001,0.001,0.005,0.009,0.337,0.016,0.322,0.353,0.956,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.212,0.716,0.265,0.003,0.001,0.001,0.004,0.009,0.268,0.015,0.253,0.284,0.946,Disfrute
