Questions,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.026,0.53,0.436,0.021,0.001,0.001,0.001,0.009,0.457,0.013,0.443,0.47,0.972,Disfrute
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.060,0.592,0.387,0.013,0.001,0.001,0.001,0.006,0.399,0.009,0.391,0.408,0.979,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.093,0.625,0.358,0.011,0.001,0.001,0,0.005,0.369,0.007,0.362,0.375,0.982,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.127,0.585,0.386,0.021,0.001,0.001,0.001,0.006,0.407,0.008,0.399,0.415,0.98,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.161,0.47,0.493,0.028,0.001,0.001,0.001,0.005,0.521,0.009,0.512,0.53,0.983,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.194,0.36,0.608,0.023,0.002,0.002,0.001,0.004,0.632,0.009,0.623,0.64,0.987,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.228,0.323,0.653,0.015,0.002,0.002,0.001,0.004,0.668,0.008,0.66,0.677,0.988,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.262,0.338,0.647,0.008,0.001,0.001,0.001,0.003,0.656,0.006,0.649,0.662,0.991,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.295,0.359,0.634,0.003,0,0.001,0.001,0.002,0.637,0.004,0.633,0.641,0.994,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.329,0.364,0.632,0.001,0,0,0,0.002,0.633,0.003,0.63,0.636,0.996,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.362,0.346,0.65,0.001,0,0,0,0.002,0.652,0.002,0.649,0.654,0.996,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.396,0.344,0.651,0.002,0,0.001,0,0.002,0.653,0.003,0.65,0.656,0.995,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.430,0.379,0.612,0.004,0,0.001,0.001,0.003,0.616,0.005,0.61,0.621,0.991,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.463,0.397,0.591,0.005,0.001,0.002,0.001,0.003,0.596,0.007,0.589,0.603,0.988,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.497,0.374,0.616,0.004,0,0.001,0.001,0.003,0.62,0.006,0.614,0.626,0.991,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.531,0.354,0.641,0.002,0,0.001,0.001,0.002,0.643,0.003,0.64,0.646,0.995,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.564,0.372,0.624,0.001,0,0,0,0.001,0.626,0.002,0.623,0.628,0.996,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.598,0.414,0.581,0.002,0,0.001,0.001,0.001,0.583,0.002,0.581,0.586,0.996,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.631,0.424,0.567,0.005,0,0.001,0.001,0.002,0.572,0.004,0.568,0.576,0.994,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.665,0.396,0.591,0.008,0.001,0.001,0.001,0.002,0.599,0.005,0.594,0.604,0.992,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.699,0.382,0.602,0.01,0.001,0.001,0.001,0.003,0.612,0.006,0.606,0.618,0.99,Disfrute
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.732,0.427,0.551,0.014,0.001,0.001,0.002,0.004,0.565,0.008,0.557,0.573,0.985,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.766,0.518,0.446,0.024,0.002,0.002,0.002,0.006,0.47,0.012,0.458,0.482,0.975,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.799,0.584,0.373,0.03,0.003,0.002,0.003,0.007,0.402,0.014,0.388,0.416,0.966,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.833,0.583,0.38,0.021,0.002,0.001,0.002,0.01,0.402,0.015,0.387,0.417,0.964,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.867,0.558,0.409,0.011,0.001,0.001,0.001,0.019,0.42,0.021,0.399,0.442,0.952,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.900,0.526,0.436,0.009,0.001,0.001,0.001,0.027,0.444,0.03,0.414,0.474,0.937,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.934,0.467,0.495,0.008,0.001,0.001,0.001,0.027,0.503,0.029,0.474,0.533,0.945,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.10,0.12,0.112,00:00:07.968,0.411,0.561,0.007,0.001,0.001,0.001,0.019,0.567,0.021,0.546,0.589,0.964,Alegria
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.018,0.49,0.497,0.007,0.001,0.001,0.001,0.005,0.503,0.007,0.496,0.51,0.986,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.052,0.531,0.46,0.004,0,0,0.001,0.003,0.464,0.005,0.459,0.469,0.99,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.086,0.563,0.427,0.006,0,0,0.001,0.003,0.432,0.005,0.427,0.437,0.989,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.119,0.613,0.367,0.015,0.001,0,0.001,0.004,0.381,0.006,0.375,0.387,0.985,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.153,0.666,0.299,0.028,0.002,0.001,0.001,0.004,0.327,0.007,0.32,0.334,0.979,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.187,0.69,0.266,0.037,0.002,0.001,0.001,0.004,0.302,0.008,0.295,0.31,0.975,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.220,0.693,0.261,0.037,0.002,0.001,0.001,0.004,0.299,0.008,0.291,0.307,0.974,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.254,0.683,0.277,0.033,0.002,0.001,0.001,0.003,0.31,0.007,0.303,0.317,0.977,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.287,0.641,0.32,0.031,0.002,0.001,0.001,0.003,0.352,0.007,0.344,0.359,0.98,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.321,0.598,0.357,0.036,0.003,0.001,0.001,0.004,0.394,0.009,0.385,0.402,0.978,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.355,0.588,0.362,0.039,0.003,0.001,0.001,0.005,0.402,0.01,0.392,0.412,0.976,Regocijo
